CATEGORIA,NOMBRE,PORTADA,LINK
LIBROS,11. QUÍMICA INORGÁNICA TA EDICIÓN,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1fsA7QrLlUbUJ4Nu11uyhGiDKE_Vpzgqm%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1fsA7QrLlUbUJ4Nu11uyhGiDKE_Vpzgqm/view?fbclid=IwY2xjawLrxZxleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR45I6yBKKZIHhJNpVyagXq1DmYK7u1m6pLheUE1WoPwZhcmIPDSH9aMnkH4gA_aem_lyN26ZAuyv0A-jJ0W0xHeQ
NOVELA,12. NOVELA DE LUNA LOLA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1FaplMYQiIv6NV2hx23y-sLUer_iaDq5X%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1FaplMYQiIv6NV2hx23y-sLUer_iaDq5X/view?fbclid=IwY2xjawLrxglleHRuA2FlbQIxMQABHrjn3oxnEP-e0jpntA5NC8Os36Gtumljy-a4pq9E5N2W1MyfFIy08AArZsib_aem_qJVD5_aKvkK75G4mO8_cKQ
LIBROS,14. MELATONIA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D1iKUr6KJPPVTbpWpOUHUGS-SwEmz5LZZs%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/1iKUr6KJPPVTbpWpOUHUGS-SwEmz5LZZs/view?fbclid=IwY2xjawLrx4JleHRuA2FlbQIxMABicmlkETFGcm5aTHBZTEZlVkVEd3J4AR5Yv2ewNzFU07Z2Y3nQBdfZ69z10juZExYkleZb4ah8427otWBqmMHa7uUlEQ_aem_S8e6eezL-D7323cR9OQhoQ
LIBROS,15. ORDENAR ANTES DE MORIR,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D14Ko86B8_XvMTRRUD8OKU3f7fOWUqshnc%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/14Ko86B8_XvMTRRUD8OKU3f7fOWUqshnc/view?fbclid=IwY2xjawLr47FleHRuA2FlbQIxMABicmlkETFVN2dlNzZqdDY3Z3VLSk9uAR6LZkjHbCIEa61dFbOvhgmPqo8r4vERPKYYmHDuTnSPfIewtnXwx8kN5egC1g_aem_PaGhr3JRzmEbn1GZaJLdqQ
LIBROS,17. FÁBULAS CLÁSICAS - FÁBULAS DE ESOPO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0BxjyUpAavLIiVkI4MU4wR0VOZlE%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0BxjyUpAavLIiVkI4MU4wR0VOZlE/view?resourcekey=0-rRCumfrTjoAmHIaAQyNpRA
LIBROS,18. ELECTRONICA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0B7GZ1AhRK6XbUXZxMkxQeUlxQ3c%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0B7GZ1AhRK6XbUXZxMkxQeUlxQ3c/view?resourcekey=0-FqRS4My0gRW3MMdhNk4c_g
LIBROS,19. ALGEBRA RASGO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0B2qlfP6ZJGiJOTZjNzU2ZWUtMjAzOC00NTE1LTgzZGUtYzI0NWQ4ZDFlZDk3%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0B2qlfP6ZJGiJOTZjNzU2ZWUtMjAzOC00NTE1LTgzZGUtYzI0NWQ4ZDFlZDk3/edit?resourcekey=0-OgJAFRQtS26y7elcHbW8uw
LIBROS,20. CIENCIA SALUD Y MEDICINA,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D13soN45m46PwQiL1JRgdO9MVNsfzJjU3Z%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/13soN45m46PwQiL1JRgdO9MVNsfzJjU3Z/view
LIBROS,21. FILOSOFIA PARA PRINCIPIANTES,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D110t22CxzQZgSR1QYcvI5hHXX63xEIqSX%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/110t22CxzQZgSR1QYcvI5hHXX63xEIqSX/edit
LIBROS,22. EL PODER DEL METABOLISMO,https://wsrv.nl/?url=https%3A%2F%2Fdrive.google.com%2Fthumbnail%3Fid%3D0BwpdV6iU2MiLQW1sYm5oT3ZzTEU%26sz%3Dw400&output=webp&w=400&q=75,https://drive.google.com/file/d/0BwpdV6iU2MiLQW1sYm5oT3ZzTEU/view?resourcekey=0-_A4VgK_pbWTh6PDyQNDA9g
